sample_id,n_het_X,n_called_X,n_het_3L,n_called_3L,n_het_3R,n_called_3R,n_het_2R,n_called_2R,n_het_2L,n_called_2L,n_het_3L_no_inv,n_called_3L_no_inv,n_het_3R_no_inv,n_called_3R_no_inv,n_het_2R_no_inv,n_called_2R_no_inv
VBS17600,121529,13247228,453809,28160165,636123,36070194,689418,46943321,553277,36818208,206733,13551323,243000,17695287,523475,35646873
VBS17601,125446,13245447,533983,28138715,572365,36070940,693741,46940338,557582,36814435,205909,13553005,233651,17696194,485282,35651890
VBS17602,128439,13241672,462567,28153865,499103,36104944,696878,46932378,574201,36806766,208536,13550746,240912,17692365,527694,35637800
VBS17603,122664,13246106,537646,28139013,632120,36072653,734078,46934723,551154,36817231,211314,13553513,239254,17696285,523196,35646490
VBS17604,125261,13245818,447190,28162350,574087,36072334,744302,46949043,550434,36819243,204070,13553811,236709,17695877,514948,35648866
VBS17605,125524,13245242,459524,28160749,631745,36073411,686599,46945151,540078,36821115,212060,13552744,238491,17695249,520554,35647071
VBS17606,128099,13242494,469182,28155444,579975,36064394,703871,46933663,560103,36812811,215536,13549931,237214,17691756,534727,35638395
VBS17607,123845,13245724,448603,28163590,575558,36073157,733347,46932663,544325,36818252,204581,13553697,237533,17695742,526990,35643776
VBS17608,128973,13239189,464897,28149024,508642,36078918,749347,46918038,569975,36800758,214899,13546077,241143,17690484,535349,35633422
VBS17609,124549,13245786,451847,28162408,632564,36070581,730325,46935370,553198,36815227,210585,13551863,240660,17694858,519772,35645488
VBS17610,126222,13245309,533260,28138261,488200,36073311,688771,46940601,552402,36815062,208266,13552438,237749,17696350,518265,35645702
VBS17612,129416,13244132,538624,28138222,546891,36075480,698486,46940608,558693,36815303,208849,13553072,235872,17694447,525523,35645547
VBS17613,126474,13245495,532222,28138206,578869,36071498,696040,46941111,554391,36818160,210138,13552702,235247,17697512,525157,35645061
VBS17614,127808,13243735,538861,28136308,636049,36071214,680344,46935867,549687,36813616,213277,13551708,241067,17695304,529505,35641129
VBS17615,127996,13244770,533077,28138866,581004,36071509,688509,46939201,551758,36819230,208128,13552549,233929,17696885,520450,35646918
VBS17616,131118,13240707,463971,28125819,507572,36063610,691675,46931746,565661,36804923,213204,13547808,242412,17691272,518422,35638311
VBS17617,127529,13242940,561085,28131111,529751,36065109,723359,46930425,577463,36807876,218611,13549070,251848,17690156,547534,35637794
